loading app ./flowmanager/flowmanager.py
loading app ryu.app.simple_switch_13
loading app ryu.topology.switches
loading app ryu.controller.ofp_handler
creating context wsgi
instantiating app None of DPSet
creating context dpset
instantiating app ./flowmanager/flowmanager.py of FlowManager
Created flowmanager
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.topology.switches of Switches
instantiating app ryu.controller.ofp_handler of OFPHandler
(27) wsgi starting up on http://0.0.0.0:5534
packet in 6 f6:2e:b3:b5:3d:9a 33:33:00:00:00:16 3
packet in 7 5e:d8:ee:a5:5e:97 33:33:ff:a5:5e:97 1
packet in 8 5e:d8:ee:a5:5e:97 33:33:ff:a5:5e:97 2
packet in 6 5e:d8:ee:a5:5e:97 33:33:ff:a5:5e:97 3
packet in 6 f6:2e:b3:b5:3d:9a 33:33:ff:b5:3d:9a 3
packet in 6 92:88:67:8b:96:27 33:33:ff:8b:96:27 2
packet in 8 92:88:67:8b:96:27 33:33:ff:8b:96:27 1
packet in 7 92:88:67:8b:96:27 33:33:ff:8b:96:27 4
packet in 7 6a:ca:92:2b:8c:71 33:33:00:00:00:16 3
packet in 8 6a:ca:92:2b:8c:71 33:33:00:00:00:16 2
packet in 6 6a:ca:92:2b:8c:71 33:33:00:00:00:16 3
packet in 6 ea:6b:e2:4a:88:5b 33:33:00:00:00:16 1
packet in 8 ea:6b:e2:4a:88:5b 33:33:00:00:00:16 1
packet in 7 ea:6b:e2:4a:88:5b 33:33:00:00:00:16 4
packet in 7 6e:6a:5e:9f:59:e9 33:33:ff:9f:59:e9 1
packet in 8 6e:6a:5e:9f:59:e9 33:33:ff:9f:59:e9 2
packet in 6 6e:6a:5e:9f:59:e9 33:33:ff:9f:59:e9 3
packet in 6 42:2f:69:76:88:8b 33:33:ff:76:88:8b 1
packet in 7 26:4a:af:23:b1:c0 33:33:00:00:00:16 1
packet in 8 42:2f:69:76:88:8b 33:33:ff:76:88:8b 1
packet in 8 26:4a:af:23:b1:c0 33:33:00:00:00:16 2
packet in 7 42:2f:69:76:88:8b 33:33:ff:76:88:8b 4
packet in 6 26:4a:af:23:b1:c0 33:33:00:00:00:16 3
packet in 7 6e:6a:5e:9f:59:e9 33:33:00:00:00:16 1
packet in 8 6e:6a:5e:9f:59:e9 33:33:00:00:00:16 2
packet in 6 6e:6a:5e:9f:59:e9 33:33:00:00:00:16 3
packet in 7 a2:67:42:57:8a:c6 33:33:ff:57:8a:c6 2
packet in 8 a2:67:42:57:8a:c6 33:33:ff:57:8a:c6 2
packet in 6 a2:67:42:57:8a:c6 33:33:ff:57:8a:c6 3
packet in 7 1e:3d:1e:95:8d:ec 33:33:ff:95:8d:ec 4
packet in 7 8e:e4:de:83:d7:f2 33:33:ff:83:d7:f2 3
packet in 8 8e:e4:de:83:d7:f2 33:33:ff:83:d7:f2 2
packet in 6 8e:e4:de:83:d7:f2 33:33:ff:83:d7:f2 3
packet in 6 ea:6b:e2:4a:88:5b 33:33:ff:4a:88:5b 1
packet in 6 ca:09:61:67:94:05 33:33:00:00:00:16 2
packet in 8 ea:6b:e2:4a:88:5b 33:33:ff:4a:88:5b 1
packet in 8 ca:09:61:67:94:05 33:33:00:00:00:16 1
